Topic	Term 0	Term 1	Term 2	Term 3	Term 4	Term 5	Term 6	Term 7	Term 8	Term 9
dump_fr_37	7.174888	4.932736	34.529147	11.210762	2.242152	11.210762	15.246637	3.139013	2.242152	8.071749
dump_fr_38	4.388715	2.92581	3.343783	28.526646	8.881923	7.105538	18.390805	13.479623	3.343783	9.613375
dump_fr_39	11.814346	3.375527	12.025317	6.329114	4.21941	20.042194	5.907173	24.261603	6.540085	5.485232
dump_fr_4	4.680187	59.75039	2.4961	2.340094	2.964119	2.808112	14.976598	6.552262	1.560062	1.872075
dump_fr_40	15.54878	8.536585	6.402439	9.146342	8.231708	5.792683	7.012195	30.792683	3.048781	5.487805
dump_fr_41	8.550186	8.178439	8.550186	7.806692	9.665427	36.05948	6.319702	7.434944	3.717472	3.717472
dump_fr_42	9.502263	7.239819	4.524887	4.524887	5.429864	14.02715	14.479639	31.22172	4.524887	4.524887
dump_fr_43	10.029499	2.949852	2.949852	6.19469	3.539823	8.259587	18.584071	15.044248	29.498526	2.949852
dump_fr_44	9.636363	4	1.545455	8.909091	3	33.727273	6.818182	25.90909	0.909091	5.545454
dump_fr_45	64.0796	1.492537	2.089552	1.99005	0.995025	3.980099	14.726368	6.169154	3.482587	0.995025
dump_fr_46	10.272727	5.909091	0.909091	17.90909	7.181818	20.545454	10.636364	22.363636	0.909091	3.363637
dump_fr_47	13.818182	2.727273	0.909091	7.545455	3.272727	13	9.909091	14.727272	0.909091	33.18182
dump_fr_48	9.727272	4.363636	6.545454	2.545454	7.909091	36.454546	9.363636	18.181819	2.636363	2.272727
dump_fr_49	0.909091	3.818182	1.727273	15	7.363636	54.545456	4.636364	8.181818	1.272727	2.545454
dump_fr_5	2.909091	56.18182	1	2.909091	2.909091	1.545455	10.272727	19	2.272727	1
dump_fr_50	1.363636	4.181818	0.909091	7.545455	3.454546	2.454546	4.545455	3.454546	5.454546	66.636366
dump_fr_6	5.545454	59.45455	0.909091	2.363636	1.727273	3.909091	14.909092	8.636364	0.909091	1.636364
dump_fr_7	6.493507	28.57143	9.740259	6.493507	7.142857	6.493507	11.038961	6.493507	6.493507	11.038961
dump_fr_8	30.818182	20.454545	0.909091	0.909091	4.090909	3.636363	10.272727	22	3	3.909091
dump_fr_9	3.773585	45.28302	3.773585	4.905661	3.773585	7.169811	9.433962	6.037736	8.679245	7.169811
